title,price,link,site
"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze",,/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=sr_1_1?dchild=1&keywords=phone&qid=1617961630&sr=8-1,amazon
Google Pixel 4a - New Unlocked Android Smartphone - 128 GB of Storage - Up to 24 Hour Battery - Just Black,,/Google-Pixel-4a-Unlocked-Smartphone/dp/B08CFSZLQ4/ref=sr_1_2?dchild=1&keywords=phone&qid=1617961630&sr=8-2,amazon
"Samsung Galaxy A12 (A125M) 64GB Dual SIM, GSM Unlocked, (CDMA Verizon/Sprint Not Supported) Smartphone Latin American Version No Warranty (Blue)",172,/A125M-Unlocked-Supported-Smartphone-American/dp/B08SBZCW7S/ref=sr_1_3?dchild=1&keywords=phone&qid=1617961630&sr=8-3,amazon
Samsung Galaxy A51 Factory Unlocked Cell Phone | 128GB of Storage | Long Lasting Battery | Single SIM | GSM or CDMA Compatible | US Version | Black,,/Samsung-Factory-Unlocked-Storage-Compatible/dp/B086FKHTLZ/ref=sr_1_4?dchild=1&keywords=phone&qid=1617961630&sr=8-4,amazon
Samsung Galaxy A31 64GB / 4GB - A315G/DSL Unlocked Dual Sim Phone w/Quad Camera 48MP+8MP+5MP+5MP GSM International Version (Prism Crush Black),214,/Samsung-Galaxy-A31-64GB-International/dp/B087H3M6NR/ref=sr_1_5?dchild=1&keywords=phone&qid=1617961630&sr=8-5,amazon
Google Pixel 4a with 5G - Android Phone - New Unlocked Smartphone with Night Sight and Ultrawide Lens - Just Black,,/Google-Pixel-4a-Smartphone-Ultrawide/dp/B08H8VZ6PV/ref=sr_1_6?dchild=1&keywords=phone&qid=1617961630&sr=8-6,amazon
"VTech CS6124 DECT 6.0 Cordless Phone with Answering System and Caller ID/Call Waiting, White with 1 Handset",,/VTech-CS6124-Cordless-Answering-Waiting/dp/B004OA6XAI/ref=sr_1_7?dchild=1&keywords=phone&qid=1617961630&sr=8-7,amazon
"Panasonic Cordless Phone System with Answering Machine, One-Touch Call Block, Enhanced Noise Reduction, Talking Caller ID and Intercom Voice Paging - 4 Handsets - KX-TGF544B (Black)",,/Panasonic-KX-TGF544B-4-Handset-Landline-Telephone/dp/B072KJ2F5Z/ref=sr_1_8?dchild=1&keywords=phone&qid=1617961630&sr=8-8,amazon
(Free $35 Airtime Activation Promotion) Total Wireless Samsung Galaxy A10e 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - SIM Card Included - CDMA,,/Total-Wireless-Samsung-Prepaid-Smartphone/dp/B07Y5TS6XX/ref=sr_1_9?dchild=1&keywords=phone&qid=1617961630&sr=8-9,amazon
"Samsung Galaxy A10s A107M - 32GB, 6.2"" HD+ Infinity-V Display, 13MP+2MP Dual Rear +8MP Front Cameras, GSM Unlocked Smartphone - Blue",,/Samsung-Galaxy-A10s-A107M-Infinity-V/dp/B07XQHM1CV/ref=sr_1_10?dchild=1&keywords=phone&qid=1617961630&sr=8-10,amazon
Samsung Galaxy A31 64GB / 4GB - A315G/DSL Unlocked Dual Sim Phone w/Quad Camera 48MP+8MP+5MP+5MP GSM International Version (Prism Crush White),,/Samsung-Galaxy-A31-64GB-International/dp/B087H4WKMY/ref=sr_1_11?dchild=1&keywords=phone&qid=1617961630&sr=8-11,amazon
"Samsung Galaxy S21 Ultra 5G | Factory Unlocked Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 8K Video, 108MP High Res | 128GB, Phantom Silver (SM-G998UZSAXAA)",,/Samsung-Unlocked-Smartphone-Pro-Grade-SM-G998UZSAXAA/dp/B08N3BYNDN/ref=sr_1_12?dchild=1&keywords=phone&qid=1617961630&sr=8-12,amazon
Samsung Galaxy A51 A515F 128GB DUOS GSM Unlocked Phone w/Quad Camera 48 MP + 12 MP + 5 MP + 5 MP (International Variant/US Compatible LTE) - Prism Crush Black,,/Samsung-Galaxy-SM-A515F-DS-Unlocked/dp/B082YG1L4B/ref=sr_1_13?dchild=1&keywords=phone&qid=1617961630&sr=8-13,amazon
Simple Mobile Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included - GSM,,/Simple-Mobile-Samsung-Prepaid-Smartphone/dp/B088N774B7/ref=sr_1_14?dchild=1&keywords=phone&qid=1617961630&sr=8-14,amazon
"CAT PHONES S60 Waterproof Smartphone Unlocked LATAM Variant GSM Dual SIM, 32 GB, Integrated FLIR Camera",,/CAT-PHONES-Waterproof-Smartphone-Integrated/dp/B01MTOCCJS/ref=sr_1_15?dchild=1&keywords=phone&qid=1617961630&sr=8-15,amazon
(Free $20 Airtime Activation Promotion) Net10 Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included -CDMA,,/Net10-Samsung-Galaxy-Prepaid-Smartphone/dp/B08CL51X7Y/ref=sr_1_16?dchild=1&keywords=phone&qid=1617961630&sr=8-16,amazon
(Free $20 Airtime Activation Promotion) TracFone Samsung Galaxy A10e 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - SIM Card Included - CDMA,,/Tracfone-Samsung-Galaxy-Prepaid-Smartphone/dp/B07Y5R57FS/ref=sr_1_17?dchild=1&keywords=phone&qid=1617961633&sr=8-17,amazon
